Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW,a
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,
0.005,4.51E-25,-1.50E-22,2.44E-19,8.61E-16,6.78E-13,2.18E-11,2.18E-11,4.30E-08,4.30E-08,9.24E-06,9.24E-06,2.55E-08,8.79E-11,3.51E-14,4.47E-03,4.47E-03,4.94E-01,4.94E-01,0.00199205,2.67177E-08,2.67177E-08,3.93508E-05,3.93508E-05,0.000957615,0.000957615,9.3714E-06,9.3714E-06,
0.01,9.01E-23,2.36E-19,7.46E-17,6.53E-14,2.17E-11,3.36E-10,3.36E-10,3.42E-07,3.42E-07,3.63E-05,3.63E-05,2.00E-07,1.38E-09,1.13E-12,8.79E-03,8.79E-03,4.87E-01,4.87E-01,0.00380528,1.9669E-07,1.9669E-07,0.00014837,0.00014837,0.001761355,0.001761355,3.72761E-05,3.72761E-05,
0.015,4.30E-21,6.55E-18,1.29E-15,7.30E-13,1.60E-10,1.64E-09,1.64E-09,1.15E-06,1.15E-06,8.01E-05,8.01E-05,6.63E-07,6.88E-09,8.34E-12,1.30E-02,1.30E-02,4.81E-01,4.81E-01,0.00545458,6.11625E-07,6.11625E-07,0.000315117,0.000315117,0.00243466,0.00243466,8.33375E-05,8.33375E-05,
0.02,5.83E-20,6.51E-17,9.45E-15,3.99E-12,6.52E-10,5.00E-09,5.00E-09,2.69E-06,2.69E-06,1.40E-04,1.40E-04,1.54E-06,2.14E-08,3.42E-11,1.70E-02,1.70E-02,4.76E-01,4.76E-01,0.0069536,1.33753E-06,1.33753E-06,0.00052953,0.00052953,0.00299745,0.00299745,0.000147111,0.000147111,
0.025,4.27E-19,3.80E-16,4.39E-14,1.48E-11,1.93E-09,1.18E-08,1.18E-08,5.21E-06,5.21E-06,2.14E-04,2.14E-04,2.96E-06,5.13E-08,1.02E-10,2.09E-02,2.09E-02,4.70E-01,4.70E-01,0.00831486,2.4133E-06,2.4133E-06,0.00078314,0.00078314,0.00346662,0.00346662,0.000228099,0.000228099,
0.03,2.15E-18,1.60E-15,1.53E-13,4.28E-11,4.64E-09,2.35E-08,2.35E-08,8.91E-06,8.91E-06,3.03E-04,3.03E-04,5.01E-06,1.05E-07,2.46E-10,2.46E-02,2.46E-02,4.65E-01,4.65E-01,0.00954986,3.85755E-06,3.85755E-06,0.00106883,0.00106883,0.00385653,0.00385653,0.000325764,0.000325764,
0.035,8.34E-18,5.34E-15,4.38E-13,1.05E-10,9.72E-09,4.20E-08,4.20E-08,1.40E-05,1.40E-05,4.05E-04,4.05E-04,7.82E-06,1.90E-07,5.18E-10,2.83E-02,2.83E-02,4.60E-01,4.60E-01,0.0106691,5.67395E-06,5.67395E-06,0.001380615,0.001380615,0.004179355,0.004179355,0.00043954,0.00043954,
0.04,2.69E-17,1.52E-14,1.08E-12,2.27E-10,1.84E-08,6.92E-08,6.92E-08,2.07E-05,2.07E-05,5.19E-04,5.19E-04,1.15E-05,3.19E-07,9.83E-10,3.18E-02,3.18E-02,4.55E-01,4.55E-01,0.0116823,7.85545E-06,7.85545E-06,0.00171348,0.00171348,0.004445445,0.004445445,0.00056884,0.00056884,
0.045,7.53E-17,3.79E-14,2.40E-12,4.46E-10,3.20E-08,1.07E-07,1.07E-07,2.91E-05,2.91E-05,6.45E-04,6.45E-04,1.60E-05,5.03E-07,1.72E-09,3.52E-02,3.52E-02,4.50E-01,4.50E-01,0.0125983,1.03876E-05,1.03876E-05,0.00206323,0.00206323,0.00466357,0.00466357,0.00071306,0.00071306,
0.05,1.88E-16,8.57E-14,4.88E-12,8.14E-10,5.25E-08,1.57E-07,1.57E-07,3.94E-05,3.94E-05,7.82E-04,7.82E-04,2.16E-05,7.54E-07,2.84E-09,3.85E-02,3.85E-02,4.46E-01,4.46E-01,0.0134252,1.3251E-05,1.3251E-05,0.002426355,0.002426355,0.00484118,0.00484118,0.0008716,0.0008716,
0.055,4.31E-16,1.79E-13,9.25E-12,1.40E-09,8.19E-08,2.22E-07,2.22E-07,5.18E-05,5.18E-05,9.29E-04,9.29E-04,2.82E-05,1.09E-06,4.46E-09,4.16E-02,4.16E-02,4.41E-01,4.41E-01,0.0141705,1.64231E-05,1.64231E-05,0.00279993,0.00279993,0.00498459,0.00498459,0.00104385,0.00104385,
0.06,9.13E-16,3.50E-13,1.65E-11,2.29E-09,1.23E-07,3.03E-07,3.03E-07,6.63E-05,6.63E-05,1.09E-03,1.09E-03,3.60E-05,1.51E-06,6.71E-09,4.47E-02,4.47E-02,4.37E-01,4.37E-01,0.0148411,1.98801E-05,1.98801E-05,0.003181525,0.003181525,0.00509915,0.00509915,0.00122921,0.00122921,
0.065,1.82E-15,6.46E-13,2.81E-11,3.59E-09,1.77E-07,4.02E-07,4.02E-07,8.32E-05,8.32E-05,1.25E-03,1.25E-03,4.49E-05,2.05E-06,9.75E-09,4.76E-02,4.76E-02,4.33E-01,4.33E-01,0.0154432,2.35974E-05,2.35974E-05,0.00356911,0.00356911,0.00518945,0.00518945,0.00142707,0.00142707,
0.07,3.43E-15,1.14E-12,4.59E-11,5.44E-09,2.49E-07,5.22E-07,5.22E-07,1.02E-04,1.02E-04,1.43E-03,1.43E-03,5.51E-05,2.71E-06,1.38E-08,5.05E-02,5.05E-02,4.29E-01,4.29E-01,0.0159827,0.000027551,0.000027551,0.00396103,0.00396103,0.00525925,0.00525925,0.00163685,0.00163685,
0.075,6.19E-15,1.92E-12,7.24E-11,7.98E-09,3.40E-07,6.64E-07,6.64E-07,1.24E-04,1.24E-04,1.61E-03,1.61E-03,6.66E-05,3.52E-06,1.89E-08,5.32E-02,5.32E-02,4.25E-01,4.25E-01,0.0164649,3.17176E-05,3.17176E-05,0.0043559,0.0043559,0.0053119,0.0053119,0.001857965,0.001857965,
0.08,1.07E-14,3.14E-12,1.11E-10,1.14E-08,4.55E-07,8.29E-07,8.29E-07,1.49E-04,1.49E-04,1.80E-03,1.80E-03,7.94E-05,4.48E-06,2.55E-08,5.59E-02,5.59E-02,4.21E-01,4.21E-01,0.0168946,3.60751E-05,3.60751E-05,0.004752605,0.004752605,0.00535015,0.00535015,0.002089845,0.002089845,
0.085,1.79E-14,4.97E-12,1.64E-10,1.59E-08,5.97E-07,1.02E-06,1.02E-06,1.76E-04,1.76E-04,1.99E-03,1.99E-03,9.36E-05,5.61E-06,3.36E-08,5.85E-02,5.85E-02,4.18E-01,4.18E-01,0.0172762,4.0603E-05,4.0603E-05,0.0051502,0.0051502,0.0053763,0.0053763,0.002331945,0.002331945,
0.09,2.91E-14,7.65E-12,2.38E-10,2.18E-08,7.71E-07,1.24E-06,1.24E-06,2.06E-04,2.06E-04,2.20E-03,2.20E-03,0.000109165,6.94E-06,4.36E-08,6.10E-02,6.10E-02,4.14E-01,4.14E-01,0.0176139,4.52822E-05,4.52822E-05,0.005548,0.005548,0.0053924,0.0053924,0.00258372,0.00258372,
0.095,4.59E-14,1.15E-11,3.38E-10,2.93E-08,9.79E-07,1.48E-06,1.48E-06,2.38E-04,2.38E-04,2.41E-03,2.41E-03,0.00012616,8.48E-06,5.57E-08,6.34E-02,6.34E-02,4.11E-01,4.11E-01,0.0179116,5.00955E-05,5.00955E-05,0.00594535,0.00594535,0.00540005,0.00540005,0.002844645,0.002844645,
0.1,7.05E-14,1.69E-11,4.71E-10,3.87E-08,1.23E-06,1.76E-06,1.76E-06,2.74E-04,2.74E-04,2.62E-03,2.62E-03,0.000144602,1.02E-05,7.01E-08,6.57E-02,6.57E-02,4.07E-01,4.07E-01,0.0181725,0.000055027,0.000055027,0.0063418,0.0063418,0.00540075,0.00540075,0.003114215,0.003114215,
0.105,1.06E-13,2.43E-11,6.45E-10,5.04E-08,1.52E-06,2.07E-06,2.07E-06,3.12E-04,3.12E-04,2.84E-03,2.84E-03,0.00016451,1.22E-05,8.73E-08,6.80E-02,6.80E-02,4.04E-01,4.04E-01,0.0183999,0.000060063,0.000060063,0.006737,0.006737,0.00539565,0.00539565,0.00339194,0.00339194,
0.11,1.56E-13,3.43E-11,8.69E-10,6.47E-08,1.86E-06,2.40E-06,2.40E-06,3.54E-04,3.54E-04,3.06E-03,3.06E-03,0.0001859,1.45E-05,1.07E-07,7.01E-02,7.01E-02,4.01E-01,4.01E-01,0.0185967,0.000065191,0.000065191,0.0071306,0.0071306,0.0053858,0.0053858,0.00367734,0.00367734,
0.115,2.26E-13,4.77E-11,1.15E-09,8.20E-08,2.25E-06,2.78E-06,2.78E-06,3.98E-04,3.98E-04,3.29E-03,3.29E-03,0.000208784,1.71E-05,1.31E-07,7.22E-02,7.22E-02,3.98E-01,3.98E-01,0.0187657,7.03995E-05,7.03995E-05,0.00752245,0.00752245,0.005372,0.005372,0.00396996,0.00396996,
0.12,3.22E-13,6.54E-11,1.51E-09,1.03E-07,2.70E-06,3.18E-06,3.18E-06,4.46E-04,4.46E-04,3.52E-03,3.52E-03,0.000233174,1.99E-05,1.58E-07,7.42E-02,7.42E-02,3.95E-01,3.95E-01,0.0189091,0.000075679,0.000075679,0.0079124,0.0079124,0.00535505,0.00535505,0.004269355,0.004269355,
0.125,4.50E-13,8.83E-11,1.96E-09,1.28E-07,3.21E-06,3.62E-06,3.62E-06,4.96E-04,4.96E-04,3.76E-03,3.76E-03,0.000259075,2.31E-05,1.89E-07,7.62E-02,7.62E-02,3.92E-01,3.92E-01,0.0190294,8.10205E-05,8.10205E-05,0.00830025,0.00830025,0.0053355,0.0053355,0.0045751,0.0045751,
0.13,6.21E-13,1.18E-10,2.50E-09,1.57E-07,3.80E-06,4.10E-06,4.10E-06,5.50E-04,5.50E-04,4.00E-03,4.00E-03,0.00028649,2.66E-05,2.24E-07,7.81E-02,7.81E-02,3.89E-01,3.89E-01,0.0191285,8.64175E-05,8.64175E-05,0.00868605,0.00868605,0.0053139,0.0053139,0.004886785,0.004886785,
0.135,8.46E-13,1.55E-10,3.17E-09,1.91E-07,4.45E-06,4.61E-06,4.61E-06,6.06E-04,6.06E-04,4.24E-03,4.24E-03,0.000315423,3.04E-05,2.64E-07,7.99E-02,7.99E-02,3.86E-01,3.86E-01,0.0192084,0.000091863,0.000091863,0.0090697,0.0090697,0.00529065,0.00529065,0.005204,0.005204,
0.14,1.14E-12,2.03E-10,3.98E-09,2.31E-07,5.18E-06,5.16E-06,5.16E-06,6.66E-04,6.66E-04,4.48E-03,4.48E-03,0.000345871,3.46E-05,3.09E-07,8.17E-02,8.17E-02,3.83E-01,3.83E-01,0.0192708,0.000097352,0.000097352,0.00945115,0.00945115,0.0052661,0.0052661,0.0055264,0.0055264,
0.145,1.52E-12,2.61E-10,4.96E-09,2.78E-07,5.99E-06,5.75E-06,5.75E-06,7.28E-04,7.28E-04,4.73E-03,4.73E-03,0.000377832,3.92E-05,3.59E-07,8.34E-02,8.34E-02,3.80E-01,3.80E-01,0.0193173,0.000102879,0.000102879,0.0098305,0.0098305,0.0052406,0.0052406,0.0058536,0.0058536,
0.15,1.99E-12,3.34E-10,6.12E-09,3.31E-07,6.90E-06,6.37E-06,6.37E-06,7.94E-04,7.94E-04,4.98E-03,4.98E-03,0.000411301,4.42E-05,4.15E-07,8.50E-02,8.50E-02,3.78E-01,3.78E-01,0.0193493,0.000108441,0.000108441,0.0102077,0.0102077,0.0052144,0.0052144,0.00618525,0.00618525,
0.155,2.60E-12,4.24E-10,7.49E-09,3.92E-07,7.89E-06,7.03E-06,7.03E-06,8.63E-04,8.63E-04,5.23E-03,5.23E-03,0.00044627,4.96E-05,4.77E-07,8.66E-02,8.66E-02,3.75E-01,3.75E-01,0.0193683,0.000114035,0.000114035,0.01058285,0.01058285,0.0051877,0.0051877,0.006521,0.006521,
0.16,3.36E-12,5.33E-10,9.11E-09,4.61E-07,8.99E-06,7.73E-06,7.73E-06,9.35E-04,9.35E-04,5.48E-03,5.48E-03,0.000482732,5.55E-05,5.46E-07,8.81E-02,8.81E-02,3.72E-01,3.72E-01,0.0193754,0.000119657,0.000119657,0.010956,0.010956,0.00516065,0.00516065,0.0068605,0.0068605,
0.165,4.29E-12,6.64E-10,1.10E-08,5.39E-07,1.02E-05,8.47E-06,8.47E-06,1.01E-03,1.01E-03,5.74E-03,5.74E-03,0.000520675,6.18E-05,6.21E-07,8.96E-02,8.96E-02,3.70E-01,3.70E-01,0.0193717,0.000125305,0.000125305,0.01132715,0.01132715,0.00513345,0.00513345,0.00720355,0.00720355,
0.17,5.45E-12,8.23E-10,1.32E-08,6.28E-07,1.15E-05,9.25E-06,9.25E-06,1.09E-03,1.09E-03,5.99E-03,5.99E-03,0.000560088,6.86E-05,7.04E-07,9.10E-02,9.10E-02,3.67E-01,3.67E-01,0.0193583,0.000130978,0.000130978,0.0116964,0.0116964,0.00510615,0.00510615,0.00754975,0.00754975,
0.175,6.87E-12,1.01E-09,1.57E-08,7.27E-07,1.29E-05,1.01E-05,1.01E-05,1.17E-03,1.17E-03,6.25E-03,6.25E-03,0.000600957,7.58E-05,7.95E-07,9.24E-02,9.24E-02,3.65E-01,3.65E-01,0.0193362,0.000136674,0.000136674,0.01206385,0.01206385,0.00507895,0.00507895,0.00789885,0.00789885,
0.18,8.59E-12,1.24E-09,1.87E-08,8.37E-07,1.45E-05,1.09E-05,1.09E-05,1.25E-03,1.25E-03,6.50E-03,6.50E-03,0.000643269,8.35E-05,8.93E-07,9.37E-02,9.37E-02,3.63E-01,3.63E-01,0.0193062,0.000142392,0.000142392,0.0124295,0.0124295,0.00505185,0.00505185,0.0082506,0.0082506,
0.185,1.07E-11,1.50E-09,2.20E-08,9.60E-07,1.61E-05,1.18E-05,1.18E-05,1.34E-03,1.34E-03,6.76E-03,6.76E-03,0.000687007,9.18E-05,1.00E-06,9.50E-02,9.50E-02,3.60E-01,3.60E-01,0.0192691,0.000148131,0.000148131,0.0127935,0.0127935,0.0050249,0.0050249,0.0086047,0.0086047,
0.19,1.32E-11,1.81E-09,2.59E-08,1.10E-06,1.79E-05,1.28E-05,1.28E-05,1.43E-03,1.43E-03,7.02E-03,7.02E-03,0.000732155,0.000100579,1.12E-06,9.62E-02,9.62E-02,3.58E-01,3.58E-01,0.0192256,0.00015389,0.00015389,0.01315585,0.01315585,0.004998255,0.004998255,0.0089609,0.0089609,
0.195,1.62E-11,2.18E-09,3.02E-08,1.25E-06,1.98E-05,1.37E-05,1.37E-05,1.52E-03,1.52E-03,7.28E-03,7.28E-03,0.000778695,0.0001099,1.24E-06,9.74E-02,9.74E-02,3.56E-01,3.56E-01,0.0191764,0.000159669,0.000159669,0.01351665,0.01351665,0.00497188,0.00497188,0.009319,0.009319,
0.2,1.97E-11,2.60E-09,3.52E-08,1.41E-06,2.19E-05,1.47E-05,1.47E-05,1.62E-03,1.62E-03,7.53E-03,7.53E-03,0.000826609,0.000119774,1.38E-06,9.85E-02,9.85E-02,3.54E-01,3.54E-01,0.019122,0.000165468,0.000165468,0.013876,0.013876,0.004945835,0.004945835,0.00967875,0.00967875,
0.205,2.39E-11,3.09E-09,4.07E-08,1.60E-06,2.41E-05,1.58E-05,1.58E-05,1.71E-03,1.71E-03,7.79E-03,7.79E-03,0.000875877,0.000130215,1.52E-06,9.96E-02,9.96E-02,3.51E-01,3.51E-01,0.0190632,0.000171286,0.000171286,0.01423395,0.01423395,0.00492014,0.00492014,0.01003995,0.01003995,
0.21,2.88E-11,3.66E-09,4.70E-08,1.80E-06,2.65E-05,1.69E-05,1.69E-05,1.82E-03,1.82E-03,8.05E-03,8.05E-03,0.00092648,0.000141236,1.68E-06,1.01E-01,1.01E-01,3.49E-01,3.49E-01,0.0190003,0.000177123,0.000177123,0.01459055,0.01459055,0.00489482,0.00489482,0.0104024,0.0104024,
0.215,3.46E-11,4.32E-09,5.40E-08,2.02E-06,2.90E-05,1.80E-05,1.80E-05,1.92E-03,1.92E-03,8.31E-03,8.31E-03,0.000978396,0.00015285,1.84E-06,1.02E-01,1.02E-01,3.47E-01,3.47E-01,0.0189338,0.00018298,0.00018298,0.01494585,0.01494585,0.004869895,0.004869895,0.01076585,0.01076585,
0.22,4.13E-11,5.06E-09,6.18E-08,2.25E-06,3.17E-05,1.92E-05,1.92E-05,2.03E-03,2.03E-03,8.56E-03,8.56E-03,0.0010316,0.000165067,2.02E-06,1.03E-01,1.03E-01,3.45E-01,3.45E-01,0.0188642,0.000188856,0.000188856,0.0153,0.0153,0.004845365,0.004845365,0.0111302,0.0111302,
0.225,4.91E-11,5.92E-09,7.05E-08,2.51E-06,3.45E-05,2.04E-05,2.04E-05,2.13E-03,2.13E-03,8.82E-03,8.82E-03,0.00108608,0.000177901,2.21E-06,1.04E-01,1.04E-01,3.43E-01,3.43E-01,0.0187919,0.000194751,0.000194751,0.01565295,0.01565295,0.004821245,0.004821245,0.01149515,0.01149515,
0.23,5.82E-11,6.89E-09,8.02E-08,2.79E-06,3.75E-05,2.16E-05,2.16E-05,2.25E-03,2.25E-03,9.08E-03,9.08E-03,0.00114181,0.000191362,2.41E-06,1.05E-01,1.05E-01,3.41E-01,3.41E-01,0.0187171,0.000200665,0.000200665,0.0160048,0.0160048,0.00479754,0.00479754,0.01186065,0.01186065,
0.235,6.86E-11,7.98E-09,9.09E-08,3.10E-06,4.07E-05,2.29E-05,2.29E-05,2.36E-03,2.36E-03,9.33E-03,9.33E-03,0.00119876,0.000205461,2.62E-06,1.05E-01,1.05E-01,3.39E-01,3.39E-01,0.0186402,0.000206599,0.000206599,0.01635565,0.01635565,0.004774245,0.004774245,0.01222645,0.01222645,
0.24,8.06E-11,9.23E-09,1.03E-07,3.42E-06,4.40E-05,2.42E-05,2.42E-05,2.48E-03,2.48E-03,9.58E-03,9.58E-03,0.00125692,0.00022021,2.85E-06,1.06E-01,1.06E-01,3.37E-01,3.37E-01,0.0185615,0.000212553,0.000212553,0.0167055,0.0167055,0.00475137,0.00475137,0.0125924,0.0125924,
0.245,9.43E-11,1.06E-08,1.16E-07,3.78E-06,4.75E-05,2.56E-05,2.56E-05,2.60E-03,2.60E-03,9.84E-03,9.84E-03,0.00131626,0.000235617,3.08E-06,1.07E-01,1.07E-01,3.35E-01,3.35E-01,0.0184813,0.000218526,0.000218526,0.0170544,0.0170544,0.004728905,0.004728905,0.0129584,0.0129584,
0.25,1.10E-10,1.22E-08,1.30E-07,4.16E-06,5.12E-05,2.70E-05,2.70E-05,2.72E-03,2.72E-03,1.01E-02,1.01E-02,0.00137675,0.000251693,3.33E-06,1.08E-01,1.08E-01,3.34E-01,3.34E-01,0.0183998,0.000224519,0.000224519,0.01740245,0.01740245,0.004706855,0.004706855,0.0133243,0.0133243,
0.255,1.28E-10,1.40E-08,1.46E-07,4.56E-06,5.51E-05,2.84E-05,2.84E-05,2.84E-03,2.84E-03,1.03E-02,1.03E-02,0.00143837,0.000268447,3.60E-06,1.09E-01,1.09E-01,3.32E-01,3.32E-01,0.0183173,0.000230532,0.000230532,0.0177496,0.0177496,0.004685205,0.004685205,0.01368995,0.01368995,
0.26,1.48E-10,1.59E-08,1.63E-07,5.00E-06,5.92E-05,2.98E-05,2.98E-05,2.97E-03,2.97E-03,1.06E-02,1.06E-02,0.00150111,0.000285888,3.88E-06,1.09E-01,1.09E-01,3.30E-01,3.30E-01,0.0182338,0.000236565,0.000236565,0.01809595,0.01809595,0.00466396,0.00466396,0.0140552,0.0140552,
0.265,1.71E-10,1.81E-08,1.82E-07,5.46E-06,6.35E-05,3.13E-05,3.13E-05,3.10E-03,3.10E-03,1.08E-02,1.08E-02,0.00156493,0.000304025,4.17E-06,1.10E-01,1.10E-01,3.28E-01,3.28E-01,0.0181497,0.000242618,0.000242618,0.01844155,0.01844155,0.004643105,0.004643105,0.01441995,0.01441995,
0.27,1.96E-10,2.06E-08,2.02E-07,5.96E-06,6.80E-05,3.29E-05,3.29E-05,3.23E-03,3.23E-03,1.11E-02,1.11E-02,0.00162981,0.000322865,4.48E-06,1.11E-01,1.11E-01,3.27E-01,3.27E-01,0.0180651,0.000248691,0.000248691,0.0187864,0.0187864,0.00462264,0.00462264,0.0147841,0.0147841,
0.275,2.25E-10,2.33E-08,2.24E-07,6.49E-06,7.27E-05,3.44E-05,3.44E-05,3.36E-03,3.36E-03,1.13E-02,1.13E-02,0.00169573,0.000342416,4.80E-06,1.11E-01,1.11E-01,3.25E-01,3.25E-01,0.01798,0.000254784,0.000254784,0.0191306,0.0191306,0.00460256,0.00460256,0.01514755,0.01514755,
0.28,2.57E-10,2.62E-08,2.48E-07,7.06E-06,7.76E-05,3.60E-05,3.60E-05,3.50E-03,3.50E-03,1.16E-02,1.16E-02,0.00176266,0.000362685,5.14E-06,1.12E-01,1.12E-01,3.23E-01,3.23E-01,0.0178948,0.000260897,0.000260897,0.01947405,0.01947405,0.00458285,0.00458285,0.01551015,0.01551015,
0.285,2.93E-10,2.96E-08,2.74E-07,7.65E-06,8.27E-05,3.76E-05,3.76E-05,3.64E-03,3.64E-03,1.18E-02,1.18E-02,0.00183058,0.000383681,5.49E-06,1.12E-01,1.12E-01,3.21E-01,3.21E-01,0.0178094,0.00026703,0.00026703,0.0198169,0.0198169,0.00456351,0.00456351,0.01587185,0.01587185,
0.29,3.34E-10,3.32E-08,3.02E-07,8.29E-06,8.80E-05,3.93E-05,3.93E-05,3.78E-03,3.78E-03,1.21E-02,1.21E-02,0.00189947,0.000405408,5.86E-06,1.13E-01,1.13E-01,3.20E-01,3.20E-01,0.017724,0.000273183,0.000273183,0.02015915,0.02015915,0.004544525,0.004544525,0.0162325,0.0162325,
0.295,3.79E-10,3.72E-08,3.32E-07,8.96E-06,9.35E-05,4.10E-05,4.10E-05,3.92E-03,3.92E-03,1.23E-02,1.23E-02,0.0019693,0.000427873,6.24E-06,1.14E-01,1.14E-01,3.18E-01,3.18E-01,0.0176387,0.000279356,0.000279356,0.02050075,0.02050075,0.004525895,0.004525895,0.01659205,0.01659205,
0.3,4.28E-10,4.16E-08,3.65E-07,9.68E-06,9.93E-05,4.27E-05,4.27E-05,4.06E-03,4.06E-03,1.25E-02,1.25E-02,0.00204005,0.000451083,6.64E-06,1.14E-01,1.14E-01,3.17E-01,3.17E-01,0.0175536,0.000285549,0.000285549,0.02084185,0.02084185,0.00450761,0.00450761,0.0169504,0.0169504,
0.305,4.84E-10,4.64E-08,4.00E-07,1.04E-05,0.000105282,4.4454E-05,4.4454E-05,0.004207775,0.004207775,0.01276625,0.01276625,0.00211169,0.000475042,7.06E-06,1.15E-01,1.15E-01,3.15E-01,3.15E-01,0.0174687,0.000291761,0.000291761,0.02118235,0.02118235,0.00448966,0.00448966,0.0173075,0.0173075,
0.31,5.45E-10,5.17E-08,4.38E-07,1.12E-05,0.000111485,4.62346E-05,4.62346E-05,0.004355635,0.004355635,0.01300015,0.01300015,0.00218421,0.000499755,7.50E-06,1.15E-01,1.15E-01,3.14E-01,3.14E-01,0.0173842,0.000297993,0.000297993,0.0215223,0.0215223,0.00447204,0.00447204,0.0176633,0.0176633,
0.315,6.12E-10,5.74E-08,4.78E-07,1.21E-05,0.000117916,4.80445E-05,4.80445E-05,0.00450537,0.00450537,0.01323225,0.01323225,0.00225758,0.000525228,7.95E-06,1.15E-01,1.15E-01,3.12E-01,3.12E-01,0.0173001,0.000304243,0.000304243,0.02186175,0.02186175,0.004454745,0.004454745,0.01801765,0.01801765,
0.32,6.86E-10,6.37E-08,5.22E-07,1.29E-05,0.000124578,4.98833E-05,4.98833E-05,0.00465694,0.00465694,0.01346255,0.01346255,0.00233177,0.000551464,8.41E-06,1.16E-01,1.16E-01,3.11E-01,3.11E-01,0.0172164,0.000310513,0.000310513,0.0222007,0.0222007,0.00443776,0.00443776,0.0183705,0.0183705,
0.325,7.68E-10,7.05E-08,5.68E-07,1.39E-05,0.000131474,5.17505E-05,5.17505E-05,0.004810295,0.004810295,0.01369105,0.01369105,0.00240676,0.000578469,8.90E-06,1.16E-01,1.16E-01,3.09E-01,3.09E-01,0.0171331,0.000316801,0.000316801,0.02253915,0.02253915,0.00442108,0.00442108,0.01872185,0.01872185,
0.33,8.58E-10,7.79E-08,6.17E-07,1.48E-05,0.000138606,0.000053645,0.000053645,0.00496539,0.00496539,0.01391765,0.01391765,0.00248254,0.000606244,9.40E-06,1.17E-01,1.17E-01,3.08E-01,3.08E-01,0.0170505,0.000323108,0.000323108,0.0228771,0.0228771,0.004404705,0.004404705,0.0190716,0.0190716,
0.335,9.56E-10,8.59E-08,6.70E-07,1.59E-05,0.000145976,0.000055567,0.000055567,0.0051222,0.0051222,0.0141424,0.0141424,0.00255908,0.000634795,9.92E-06,1.17E-01,1.17E-01,3.06E-01,3.06E-01,0.0169684,0.000329432,0.000329432,0.0232146,0.0232146,0.00438862,0.00438862,0.0194197,0.0194197,
0.34,1.06E-09,9.46E-08,7.26E-07,1.69E-05,0.000153587,5.75155E-05,5.75155E-05,0.00528065,0.00528065,0.01436525,0.01436525,0.00263635,0.000664123,1.05E-05,1.17E-01,1.17E-01,3.05E-01,3.05E-01,0.0168869,0.000335774,0.000335774,0.02355165,0.02355165,0.004372825,0.004372825,0.0197661,0.0197661,
