Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,,,
0.004,-5.36E-26,-1.07E-21,-2.17E-19,9.43E-17,2.09E-13,9.01E-12,9.01E-12,2.21E-08,2.21E-08,5.93E-06,5.93E-06,1.31E-08,3.62E-11,1.08E-14,3.59E-03,3.59E-03,4.95E-01,4.95E-01,0.00160844,1.39096E-08,1.39096E-08,2.54883E-05,2.54883E-05,0.00077922,0.00077922,6.0038E-06,6.0038E-06,,,
0.008,7.06E-25,2.57E-20,1.40E-17,1.68E-14,7.17E-12,1.40E-10,1.40E-10,1.76E-07,1.76E-07,2.34E-05,2.34E-05,1.03E-07,5.70E-10,3.72E-13,7.08E-03,7.08E-03,4.90E-01,4.90E-01,0.00310046,1.04095E-07,1.04095E-07,0.000097212,0.000097212,0.00145674,0.00145674,2.39126E-05,2.39126E-05,,,
0.012,4.99E-22,1.05E-18,2.69E-16,1.94E-13,5.33E-11,6.87E-10,6.87E-10,5.89E-07,5.89E-07,5.18E-05,5.18E-05,3.43E-07,2.85E-09,2.78E-12,1.05E-02,1.05E-02,4.85E-01,4.85E-01,0.00448388,3.28873E-07,3.28873E-07,0.000208744,0.000208744,0.00204514,0.00204514,5.35455E-05,5.35455E-05,,,
0.016,7.66E-21,1.10E-17,2.02E-15,1.07E-12,2.19E-10,2.11E-09,2.11E-09,1.39E-06,1.39E-06,9.07E-05,9.07E-05,8.01E-07,8.87E-09,1.15E-11,1.38E-02,1.38E-02,4.80E-01,4.80E-01,0.00576599,7.3034E-07,7.3034E-07,0.000354479,0.000354479,0.00255548,0.00255548,9.46905E-05,9.46905E-05,,,
0.02,5.82E-20,6.51E-17,9.45E-15,3.99E-12,6.52E-10,5.00E-09,5.00E-09,2.69E-06,2.69E-06,1.40E-04,1.40E-04,1.54E-06,2.14E-08,3.42E-11,1.70E-02,1.70E-02,4.76E-01,4.76E-01,0.0069536,1.33753E-06,1.33753E-06,0.00052953,0.00052953,0.00299745,0.00299745,0.000147111,0.000147111,,,
0.024,2.97E-19,2.76E-16,3.32E-14,1.16E-11,1.58E-09,1.01E-08,1.01E-08,4.62E-06,4.62E-06,1.98E-04,1.98E-04,2.62E-06,4.37E-08,8.33E-11,2.01E-02,2.01E-02,4.71E-01,4.71E-01,0.00805307,2.16902E-06,2.16902E-06,0.00072964,0.00072964,0.00337955,0.00337955,0.00021055,0.00021055,,,
0.028,1.17E-18,9.29E-16,9.55E-14,2.86E-11,3.33E-09,1.81E-08,1.81E-08,7.28E-06,7.28E-06,2.66E-04,2.66E-04,4.11E-06,7.99E-08,1.76E-10,2.32E-02,2.32E-02,4.67E-01,4.67E-01,0.00907032,3.23512E-06,3.23512E-06,0.00095111,0.00095111,0.00370925,0.00370925,0.000284733,0.000284733,,,
0.032,3.79E-18,2.65E-15,2.38E-13,6.23E-11,6.33E-09,3.00E-08,3.00E-08,1.08E-05,1.08E-05,3.42E-04,3.42E-04,6.04E-06,1.34E-07,3.36E-10,2.61E-02,2.61E-02,4.63E-01,4.63E-01,0.0100109,4.53964E-06,4.53964E-06,0.00119071,0.00119071,0.00399309,0.00399309,0.000369374,0.000369374,,,
0.036,1.07E-17,6.66E-15,5.30E-13,1.23E-10,1.11E-08,4.67E-08,4.67E-08,1.52E-05,1.52E-05,4.26E-04,4.26E-04,8.48E-06,2.12E-07,5.93E-10,2.90E-02,2.90E-02,4.59E-01,4.59E-01,0.0108799,6.0814E-06,6.0814E-06,0.001445645,0.001445645,0.00423681,0.00423681,0.000464176,0.000464176,,,
0.04,2.69E-17,1.52E-14,1.08E-12,2.27E-10,1.84E-08,6.92E-08,6.92E-08,2.07E-05,2.07E-05,5.19E-04,5.19E-04,1.15E-05,3.19E-07,9.83E-10,3.18E-02,3.18E-02,4.55E-01,4.55E-01,0.0116823,7.85545E-06,7.85545E-06,0.00171348,0.00171348,0.004445445,0.004445445,0.00056884,0.00056884,,,
0.044,6.19E-17,3.18E-14,2.06E-12,3.92E-10,2.88E-08,9.83E-08,9.83E-08,2.72E-05,2.72E-05,6.19E-04,6.19E-04,1.50E-05,4.61E-07,1.55E-09,3.45E-02,3.45E-02,4.51E-01,4.51E-01,0.0124224,0.000009854,0.000009854,0.001992105,0.001992105,0.00462341,0.00462341,0.00068305,0.00068305,,,
0.048,1.32E-16,6.25E-14,3.71E-12,6.45E-10,4.34E-08,1.35E-07,1.35E-07,3.50E-05,3.50E-05,7.26E-04,7.26E-04,1.92E-05,6.45E-07,2.34E-09,3.72E-02,3.72E-02,4.48E-01,4.48E-01,0.0131046,1.20673E-05,1.20673E-05,0.0022797,0.0022797,0.00477457,0.00477457,0.000806505,0.000806505,,,
0.052,2.65E-16,1.16E-13,6.35E-12,1.02E-09,6.31E-08,1.81E-07,1.81E-07,4.41E-05,4.41E-05,8.39E-04,8.39E-04,2.41E-05,8.76E-07,3.42E-09,3.97E-02,3.97E-02,4.44E-01,4.44E-01,0.0137327,1.44841E-05,1.44841E-05,0.00257468,0.00257468,0.00490233,0.00490233,0.00093889,0.00093889,,,
0.056,5.03E-16,2.06E-13,1.04E-11,1.55E-09,8.91E-08,2.36E-07,2.36E-07,5.45E-05,5.45E-05,9.60E-04,9.60E-04,2.97E-05,1.16E-06,4.85E-09,4.22E-02,4.22E-02,4.41E-01,4.41E-01,0.0143104,1.70925E-05,1.70925E-05,0.00287568,0.00287568,0.00500965,0.00500965,0.001079895,0.001079895,,,
0.06,9.13E-16,3.50E-13,1.65E-11,2.29E-09,1.23E-07,3.03E-07,3.03E-07,6.63E-05,6.63E-05,1.09E-03,1.09E-03,3.60E-05,1.51E-06,6.71E-09,4.47E-02,4.47E-02,4.37E-01,4.37E-01,0.0148411,1.98801E-05,1.98801E-05,0.003181525,0.003181525,0.00509915,0.00509915,0.00122921,0.00122921,,,
0.064,1.59E-15,5.74E-13,2.54E-11,3.29E-09,1.65E-07,3.81E-07,3.81E-07,7.96E-05,7.96E-05,1.22E-03,1.22E-03,4.30E-05,1.93E-06,9.07E-09,4.70E-02,4.70E-02,4.34E-01,4.34E-01,0.015328,2.28343E-05,2.28343E-05,0.0034912,0.0034912,0.00517315,0.00517315,0.001386525,0.001386525,,,
0.068,2.68E-15,9.12E-13,3.79E-11,4.62E-09,2.18E-07,4.72E-07,4.72E-07,9.45E-05,9.45E-05,1.36E-03,1.36E-03,5.09E-05,2.43E-06,1.20E-08,4.94E-02,4.94E-02,4.31E-01,4.31E-01,0.0157741,2.59428E-05,2.59428E-05,0.003803835,0.003803835,0.00523355,0.00523355,0.001551545,0.001551545,,,
0.072,4.37E-15,1.41E-12,5.53E-11,6.36E-09,2.83E-07,5.76E-07,5.76E-07,1.11E-04,1.11E-04,1.50E-03,1.50E-03,5.96E-05,3.02E-06,1.57E-08,5.16E-02,5.16E-02,4.28E-01,4.28E-01,0.0161822,2.91934E-05,2.91934E-05,0.00411869,0.00411869,0.0052822,0.0052822,0.001723965,0.001723965,,,
0.076,6.93E-15,2.13E-12,7.90E-11,8.59E-09,3.61E-07,6.95E-07,6.95E-07,1.29E-04,1.29E-04,1.65E-03,1.65E-03,6.91E-05,3.69E-06,2.01E-08,5.38E-02,5.38E-02,4.24E-01,4.24E-01,0.0165549,3.25745E-05,3.25745E-05,0.004435125,0.004435125,0.00532065,0.00532065,0.001903495,0.001903495,,,
0.08,1.07E-14,3.14E-12,1.11E-10,1.14E-08,4.55E-07,8.29E-07,8.29E-07,1.49E-04,1.49E-04,1.80E-03,1.80E-03,7.94E-05,4.48E-06,2.55E-08,5.59E-02,5.59E-02,4.21E-01,4.21E-01,0.0168946,3.60751E-05,3.60751E-05,0.004752605,0.004752605,0.00535015,0.00535015,0.002089845,0.002089845,,,
0.084,1.62E-14,4.55E-12,1.52E-10,1.49E-08,5.67E-07,9.80E-07,9.80E-07,1.70E-04,1.70E-04,1.95E-03,1.95E-03,9.06E-05,5.37E-06,3.18E-08,5.80E-02,5.80E-02,4.18E-01,4.18E-01,0.0172035,3.96847E-05,3.96847E-05,0.00507065,0.00507065,0.00537195,0.00537195,0.002282735,0.002282735,,,
0.088,2.41E-14,6.46E-12,2.06E-10,1.93E-08,6.97E-07,1.15E-06,1.15E-06,1.93E-04,1.93E-04,2.12E-03,2.12E-03,0.000102768,6.39E-06,3.94E-08,6.00E-02,6.00E-02,4.16E-01,4.16E-01,0.0174839,4.33935E-05,4.33935E-05,0.0053889,0.0053889,0.00538705,0.00538705,0.00248188,0.00248188,,,
0.092,3.50E-14,9.03E-12,2.75E-10,2.46E-08,8.49E-07,1.33E-06,1.33E-06,2.18E-04,2.18E-04,2.28E-03,2.28E-03,0.000115791,7.53E-06,4.82E-08,6.20E-02,6.20E-02,4.13E-01,4.13E-01,0.0177376,4.71924E-05,4.71924E-05,0.005707,0.005707,0.0053964,0.0053964,0.00268702,0.00268702,,,
0.096,5.01E-14,1.24E-11,3.62E-10,3.10E-08,1.03E-06,1.54E-06,1.54E-06,2.45E-04,2.45E-04,2.45E-03,2.45E-03,0.000129732,8.81E-06,5.84E-08,6.39E-02,6.39E-02,4.10E-01,4.10E-01,0.0179666,0.000051073,0.000051073,0.00602475,0.00602475,0.0054007,0.0054007,0.002897885,0.002897885,,,
0.1,7.05E-14,1.69E-11,4.71E-10,3.87E-08,1.23E-06,1.76E-06,1.76E-06,2.74E-04,2.74E-04,2.62E-03,2.62E-03,0.000144602,1.02E-05,7.01E-08,6.57E-02,6.57E-02,4.07E-01,4.07E-01,0.0181725,0.000055027,0.000055027,0.0063418,0.0063418,0.00540075,0.00540075,0.003114215,0.003114215,,,
0.104,9.79E-14,2.26E-11,6.06E-10,4.78E-08,1.46E-06,2.00E-06,2.00E-06,3.04E-04,3.04E-04,2.80E-03,2.80E-03,0.00016041,1.18E-05,8.36E-08,6.75E-02,6.75E-02,4.05E-01,4.05E-01,0.018357,5.90485E-05,5.90485E-05,0.00665805,0.00665805,0.0053971,0.0053971,0.003335765,0.003335765,,,
0.108,1.34E-13,2.99E-11,7.72E-10,5.86E-08,1.72E-06,2.26E-06,2.26E-06,3.37E-04,3.37E-04,2.97E-03,2.97E-03,0.000177165,1.36E-05,9.90E-08,6.93E-02,6.93E-02,4.02E-01,4.02E-01,0.0185215,6.31295E-05,6.31295E-05,0.00697335,0.00697335,0.00539025,0.00539025,0.00356229,0.00356229,,,
0.112,1.82E-13,3.92E-11,9.74E-10,7.12E-08,2.01E-06,2.55E-06,2.55E-06,3.71E-04,3.71E-04,3.15E-03,3.15E-03,0.000194874,1.55E-05,1.16E-07,7.10E-02,7.10E-02,4.00E-01,4.00E-01,0.0186675,0.000067265,0.000067265,0.0072876,0.0072876,0.0053807,0.0053807,0.003793545,0.003793545,,,
0.116,2.43E-13,5.09E-11,1.22E-09,8.59E-08,2.34E-06,2.85E-06,2.85E-06,4.07E-04,4.07E-04,3.34E-03,3.34E-03,0.000213542,1.76E-05,1.36E-07,7.26E-02,7.26E-02,3.97E-01,3.97E-01,0.0187963,0.00007145,0.00007145,0.0076006,0.0076006,0.00536885,0.00536885,0.00402931,0.00402931,,,
0.12,3.22E-13,6.54E-11,1.51E-09,1.03E-07,2.70E-06,3.18E-06,3.18E-06,4.46E-04,4.46E-04,3.52E-03,3.52E-03,0.000233174,1.99E-05,1.58E-07,7.42E-02,7.42E-02,3.95E-01,3.95E-01,0.0189091,0.000075679,0.000075679,0.0079124,0.0079124,0.00535505,0.00535505,0.004269355,0.004269355,,,
0.124,4.21E-13,8.33E-11,1.86E-09,1.22E-07,3.11E-06,3.53E-06,3.53E-06,4.86E-04,4.86E-04,3.71E-03,3.71E-03,0.000253773,2.24E-05,1.82E-07,7.58E-02,7.58E-02,3.92E-01,3.92E-01,0.0190071,7.99475E-05,7.99475E-05,0.00822285,0.00822285,0.0053396,0.0053396,0.004513465,0.004513465,,,
0.128,5.47E-13,1.05E-10,2.27E-09,1.45E-07,3.55E-06,3.90E-06,3.90E-06,5.28E-04,5.28E-04,3.90E-03,3.90E-03,0.000275342,2.51E-05,2.09E-07,7.73E-02,7.73E-02,3.90E-01,3.90E-01,0.0190913,8.42525E-05,8.42525E-05,0.008532,0.008532,0.00532275,0.00532275,0.004761425,0.004761425,,,
0.132,7.04E-13,1.32E-10,2.76E-09,1.70E-07,4.05E-06,4.30E-06,4.30E-06,5.72E-04,5.72E-04,4.09E-03,4.09E-03,0.000297881,2.81E-05,2.39E-07,7.88E-02,7.88E-02,3.88E-01,3.88E-01,0.0191627,0.00008859,0.00008859,0.00883975,0.00883975,0.00530475,0.00530475,0.00501305,0.00501305,,,
0.136,8.99E-13,1.64E-10,3.32E-09,1.99E-07,4.59E-06,4.72E-06,4.72E-06,6.18E-04,6.18E-04,4.29E-03,4.29E-03,0.000321391,3.12E-05,2.72E-07,8.03E-02,8.03E-02,3.85E-01,3.85E-01,0.0192222,9.29575E-05,9.29575E-05,0.00914615,0.00914615,0.00528585,0.00528585,0.0052681,0.0052681,,,
0.14,1.14E-12,2.03E-10,3.98E-09,2.31E-07,5.18E-06,5.16E-06,5.16E-06,6.66E-04,6.66E-04,4.48E-03,4.48E-03,0.000345871,3.46E-05,3.09E-07,8.17E-02,8.17E-02,3.83E-01,3.83E-01,0.0192708,0.000097352,0.000097352,0.00945115,0.00945115,0.0052661,0.0052661,0.0055264,0.0055264,,,
0.144,1.43E-12,2.49E-10,4.75E-09,2.68E-07,5.82E-06,5.63E-06,5.63E-06,7.16E-04,7.16E-04,4.68E-03,4.68E-03,0.000371319,3.83E-05,3.48E-07,8.30E-02,8.30E-02,3.81E-01,3.81E-01,0.0193092,0.000101771,0.000101771,0.0097548,0.0097548,0.0052458,0.0052458,0.0057878,0.0057878,,,
0.148,1.79E-12,3.03E-10,5.63E-09,3.09E-07,6.53E-06,6.12E-06,6.12E-06,7.67E-04,7.67E-04,4.88E-03,4.88E-03,0.000397733,4.22E-05,3.92E-07,8.44E-02,8.44E-02,3.79E-01,3.79E-01,0.0193382,0.000106213,0.000106213,0.0100571,0.0100571,0.00522495,0.00522495,0.00605205,0.00605205,,,
0.152,2.22E-12,3.68E-10,6.64E-09,3.54E-07,7.28E-06,6.63E-06,6.63E-06,8.21E-04,8.21E-04,5.08E-03,5.08E-03,0.000425109,4.63E-05,4.39E-07,8.57E-02,8.57E-02,3.77E-01,3.77E-01,0.0193584,0.000110675,0.000110675,0.01035805,0.01035805,0.0052038,0.0052038,0.00631905,0.00631905,,,
0.156,2.74E-12,4.44E-10,7.79E-09,4.05E-07,8.10E-06,7.17E-06,7.17E-06,8.77E-04,8.77E-04,5.28E-03,5.28E-03,0.000453444,5.08E-05,4.90E-07,8.69E-02,8.69E-02,3.74E-01,3.74E-01,0.0193706,0.000115157,0.000115157,0.01065765,0.01065765,0.0051823,0.0051823,0.0065886,0.0065886,,,
0.16,3.36E-12,5.33E-10,9.11E-09,4.61E-07,8.99E-06,7.73E-06,7.73E-06,9.35E-04,9.35E-04,5.48E-03,5.48E-03,0.000482732,5.55E-05,5.46E-07,8.81E-02,8.81E-02,3.72E-01,3.72E-01,0.0193754,0.000119657,0.000119657,0.010956,0.010956,0.00516065,0.00516065,0.0068605,0.0068605,,,
0.164,4.09E-12,6.36E-10,1.06E-08,5.23E-07,9.94E-06,8.32E-06,8.32E-06,9.94E-04,9.94E-04,5.69E-03,5.69E-03,0.000512968,6.05E-05,6.06E-07,8.93E-02,8.93E-02,3.70E-01,3.70E-01,0.0193732,0.000124173,0.000124173,0.0112531,0.0112531,0.0051389,0.0051389,0.00713465,0.00713465,,,
0.168,4.96E-12,7.56E-10,1.23E-08,5.91E-07,1.10E-05,8.94E-06,8.94E-06,1.06E-03,1.06E-03,5.89E-03,5.89E-03,0.000544147,6.58E-05,6.70E-07,9.05E-02,9.05E-02,3.68E-01,3.68E-01,0.0193648,0.000128706,0.000128706,0.01154895,0.01154895,0.0051171,0.0051171,0.0074109,0.0074109,,,
0.172,5.99E-12,8.94E-10,1.42E-08,6.66E-07,1.20E-05,9.57E-06,9.57E-06,1.12E-03,1.12E-03,6.09E-03,6.09E-03,0.000576262,7.14E-05,7.40E-07,9.16E-02,9.16E-02,3.66E-01,3.66E-01,0.0193505,0.000133253,0.000133253,0.0118436,0.0118436,0.00509525,0.00509525,0.00768905,0.00768905,,,
0.176,7.19E-12,1.05E-09,1.63E-08,7.48E-07,1.32E-05,1.02E-05,1.02E-05,1.18E-03,1.18E-03,6.30E-03,6.30E-03,0.000609305,7.73E-05,8.14E-07,9.27E-02,9.27E-02,3.65E-01,3.65E-01,0.0193308,0.000137816,0.000137816,0.0121371,0.0121371,0.0050735,0.0050735,0.007969,0.007969,,,
0.18,8.59E-12,1.24E-09,1.87E-08,8.37E-07,1.45E-05,1.09E-05,1.09E-05,1.25E-03,1.25E-03,6.50E-03,6.50E-03,0.000643269,8.35E-05,8.93E-07,9.37E-02,9.37E-02,3.63E-01,3.63E-01,0.0193062,0.000142392,0.000142392,0.0124295,0.0124295,0.00505185,0.00505185,0.0082506,0.0082506,,,
0.184,1.02E-11,1.45E-09,2.13E-08,9.35E-07,1.58E-05,1.16E-05,1.16E-05,1.32E-03,1.32E-03,6.71E-03,6.71E-03,0.000678146,9.01E-05,9.78E-07,9.47E-02,9.47E-02,3.61E-01,3.61E-01,0.019277,0.000146981,0.000146981,0.01272085,0.01272085,0.0050303,0.0050303,0.0085337,0.0085337,,,
0.188,1.21E-11,1.68E-09,2.43E-08,1.04E-06,1.72E-05,1.24E-05,1.24E-05,1.39E-03,1.39E-03,6.92E-03,6.92E-03,0.000713928,9.70E-05,1.07E-06,9.57E-02,9.57E-02,3.59E-01,3.59E-01,0.0192437,0.000151584,0.000151584,0.0130111,0.0130111,0.0050089,0.0050089,0.00881815,0.00881815,,,
0.192,1.43E-11,1.95E-09,2.76E-08,1.16E-06,1.87E-05,1.31E-05,1.31E-05,1.46E-03,1.46E-03,7.12E-03,7.12E-03,0.000750605,0.000104242,1.17E-06,9.67E-02,9.67E-02,3.57E-01,3.57E-01,0.0192065,0.000156199,0.000156199,0.01330035,0.01330035,0.00498767,0.00498767,0.00910395,0.00910395,,,
0.196,1.68E-11,2.26E-09,3.12E-08,1.28E-06,2.02E-05,1.39E-05,1.39E-05,1.54E-03,1.54E-03,7.33E-03,7.33E-03,0.000788169,0.00011183,1.27E-06,9.76E-02,9.76E-02,3.55E-01,3.55E-01,0.0191659,0.000160827,0.000160827,0.01358865,0.01358865,0.004966645,0.004966645,0.00939085,0.00939085,,,
0.2,1.97E-11,2.60E-09,3.52E-08,1.41E-06,2.19E-05,1.47E-05,1.47E-05,1.62E-03,1.62E-03,7.53E-03,7.53E-03,0.000826609,0.000119774,1.38E-06,9.85E-02,9.85E-02,3.54E-01,3.54E-01,0.019122,0.000165468,0.000165468,0.013876,0.013876,0.004945835,0.004945835,0.00967875,0.00967875,,,
0.204,2.30E-11,2.99E-09,3.96E-08,1.56E-06,2.37E-05,1.56E-05,1.56E-05,1.69E-03,1.69E-03,7.74E-03,7.74E-03,0.000865916,0.000128081,1.49E-06,9.94E-02,9.94E-02,3.52E-01,3.52E-01,0.0190753,0.000170121,0.000170121,0.01416245,0.01416245,0.00492525,0.00492525,0.00996765,0.00996765,,,
0.208,2.68E-11,3.43E-09,4.44E-08,1.71E-06,2.55E-05,1.64E-05,1.64E-05,1.77E-03,1.77E-03,7.95E-03,7.95E-03,0.00090608,0.000136758,1.61E-06,1.00E-01,1.00E-01,3.50E-01,3.50E-01,0.0190259,0.000174786,0.000174786,0.01444805,0.01444805,0.004904905,0.004904905,0.0102573,0.0102573,,,
0.212,3.10E-11,3.91E-09,4.97E-08,1.88E-06,2.75E-05,1.73E-05,1.73E-05,1.86E-03,1.86E-03,8.15E-03,8.15E-03,0.00094709,0.00014581,1.74E-06,1.01E-01,1.01E-01,3.48E-01,3.48E-01,0.0189741,0.000179464,0.000179464,0.0147328,0.0147328,0.004884805,0.004884805,0.0105477,0.0105477,,,
0.216,3.59E-11,4.46E-09,5.55E-08,2.06E-06,2.95E-05,1.82E-05,1.82E-05,1.94E-03,1.94E-03,8.36E-03,8.36E-03,0.000988935,0.000155244,1.88E-06,1.02E-01,1.02E-01,3.47E-01,3.47E-01,0.0189202,0.000184154,0.000184154,0.0150168,0.0150168,0.004864955,0.004864955,0.01083865,0.01083865,,,
0.22,4.13E-11,5.06E-09,6.18E-08,2.25E-06,3.17E-05,1.92E-05,1.92E-05,2.03E-03,2.03E-03,8.56E-03,8.56E-03,0.0010316,0.000165067,2.02E-06,1.03E-01,1.03E-01,3.45E-01,3.45E-01,0.0188642,0.000188856,0.000188856,0.0153,0.0153,0.004845365,0.004845365,0.0111302,0.0111302,,,
0.224,4.75E-11,5.74E-09,6.87E-08,2.46E-06,3.39E-05,2.01E-05,2.01E-05,2.11E-03,2.11E-03,8.77E-03,8.77E-03,0.00107509,0.000175284,2.17E-06,1.03E-01,1.03E-01,3.44E-01,3.44E-01,0.0188065,0.00019357,0.00019357,0.01558245,0.01558245,0.004826035,0.004826035,0.0114221,0.0114221,,,
0.228,5.44E-11,6.48E-09,7.62E-08,2.68E-06,3.63E-05,2.11E-05,2.11E-05,2.20E-03,2.20E-03,8.97E-03,8.97E-03,0.00111937,0.000185901,2.33E-06,1.04E-01,1.04E-01,3.42E-01,3.42E-01,0.0187473,0.000198297,0.000198297,0.0158642,0.0158642,0.00480697,0.00480697,0.0117144,0.0117144,,,
0.232,6.22E-11,7.31E-09,8.44E-08,2.91E-06,3.87E-05,2.21E-05,2.21E-05,2.29E-03,2.29E-03,9.18E-03,9.18E-03,0.00116445,0.000196924,2.49E-06,1.05E-01,1.05E-01,3.40E-01,3.40E-01,0.0186866,0.000203036,0.000203036,0.0161453,0.0161453,0.00478817,0.00478817,0.0120069,0.0120069,,,
0.236,7.09E-11,8.22E-09,9.32E-08,3.16E-06,4.13E-05,2.32E-05,2.32E-05,2.38E-03,2.38E-03,9.38E-03,9.38E-03,0.0012103,0.000208359,2.66E-06,1.06E-01,1.06E-01,3.39E-01,3.39E-01,0.0186246,0.000207788,0.000207788,0.0164257,0.0164257,0.00476964,0.00476964,0.0122996,0.0122996,,,
0.24,8.06E-11,9.23E-09,1.03E-07,3.42E-06,4.40E-05,2.42E-05,2.42E-05,2.48E-03,2.48E-03,9.58E-03,9.58E-03,0.00125692,0.00022021,2.85E-06,1.06E-01,1.06E-01,3.37E-01,3.37E-01,0.0185615,0.000212553,0.000212553,0.0167055,0.0167055,0.00475137,0.00475137,0.0125924,0.0125924,,,
0.244,9.14E-11,1.03E-08,1.13E-07,3.70E-06,4.68E-05,2.53E-05,2.53E-05,2.57E-03,2.57E-03,9.79E-03,9.79E-03,0.0013043,0.000232482,3.03E-06,1.07E-01,1.07E-01,3.36E-01,3.36E-01,0.0184975,0.00021733,0.00021733,0.0169847,0.0169847,0.004733365,0.004733365,0.0128852,0.0128852,,,
0.248,1.03E-10,1.15E-08,1.24E-07,4.00E-06,4.97E-05,2.64E-05,2.64E-05,2.67E-03,2.67E-03,9.99E-03,9.99E-03,0.00135241,0.000245182,3.23E-06,1.08E-01,1.08E-01,3.34E-01,3.34E-01,0.0184326,0.000222119,0.000222119,0.01726335,0.01726335,0.004715625,0.004715625,0.01317795,0.01317795,,,
0.252,1.17E-10,1.29E-08,1.36E-07,4.31E-06,5.28E-05,2.75E-05,2.75E-05,2.77E-03,2.77E-03,1.02E-02,1.02E-02,0.00140126,0.000258313,3.44E-06,1.08E-01,1.08E-01,3.33E-01,3.33E-01,0.0183669,0.000226922,0.000226922,0.0175414,0.0175414,0.004698145,0.004698145,0.0134706,0.0134706,,,
0.256,1.31E-10,1.43E-08,1.49E-07,4.65E-06,5.59E-05,2.87E-05,2.87E-05,2.87E-03,2.87E-03,1.04E-02,1.04E-02,0.00145083,0.00027188,3.65E-06,1.09E-01,1.09E-01,3.31E-01,3.31E-01,0.0183006,0.000231737,0.000231737,0.01781895,0.01781895,0.004680925,0.004680925,0.013763,0.013763,,,
0.26,1.48E-10,1.59E-08,1.63E-07,5.00E-06,5.92E-05,2.98E-05,2.98E-05,2.97E-03,2.97E-03,1.06E-02,1.06E-02,0.00150111,0.000285888,3.88E-06,1.09E-01,1.09E-01,3.30E-01,3.30E-01,0.0182338,0.000236565,0.000236565,0.01809595,0.01809595,0.00466396,0.00466396,0.0140552,0.0140552,,,
0.264,1.66E-10,1.77E-08,1.78E-07,5.37E-06,6.26E-05,3.10E-05,3.10E-05,3.07E-03,3.07E-03,1.08E-02,1.08E-02,0.00155208,0.000300341,4.11E-06,1.10E-01,1.10E-01,3.29E-01,3.29E-01,0.0181666,0.000241405,0.000241405,0.0183725,0.0183725,0.004647245,0.004647245,0.01434705,0.01434705,,,
0.268,1.86E-10,1.95E-08,1.94E-07,5.76E-06,6.62E-05,3.22E-05,3.22E-05,3.18E-03,3.18E-03,1.10E-02,1.10E-02,0.00160373,0.000315244,4.35E-06,1.10E-01,1.10E-01,3.27E-01,3.27E-01,0.018099,0.000246259,0.000246259,0.01864855,0.01864855,0.00463078,0.00463078,0.01463855,0.01463855,,,
0.272,2.07E-10,2.16E-08,2.11E-07,6.17E-06,6.99E-05,3.35E-05,3.35E-05,3.28E-03,3.28E-03,1.12E-02,1.12E-02,0.00165605,0.000330599,4.61E-06,1.11E-01,1.11E-01,3.26E-01,3.26E-01,0.0180311,0.000251125,0.000251125,0.01892415,0.01892415,0.00461456,0.00461456,0.0149296,0.0149296,,,
